movie_tip,movie_grade,movie_desc,movie_name,comment_num
两张绝世的脸。,8.6,导演:程小东Siu-TungChing主演:张国荣LeslieCheung/王祖贤JoeyW...,倩女幽魂/倩女幽魂(87版)/AChineseGhostStory,288178
恐怖分子的“秋菊打官司”。,8.7,导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,恐怖直播/더테러라이브/死亡“动”新闻(港)/恐怖攻击直播(台),254628
那些静得只能听见呼吸的日子里，你明白孤独即生活。,8.9,导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...,小森林夏秋篇/リトル・フォレスト夏・秋/小森食光/夏秋篇(台),154406
我是一个演员。,8.6,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...,喜剧之王/喜劇之王/KingofComedy,358886
和谐的生活离不开摸头与被摸头。,8.7,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...,驯龙高手/HowtoTrainYourDragon/驯龙记(港),316316
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.7,导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...,菊次郎的夏天/菊次郎の夏/Kikujirônonatsu/菊次郎的夏天,206470
有时候幸福需要等一等。,8.7,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,幸福终点站/TheTerminal/机场客运站(港)/航站情缘(台),247212
幸福是生生不息，却难以触及的远。,8.7,导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子,萤火虫之墓/火垂るの墓/再见萤火虫(港)/萤火挽歌,224072
曾经的那段美好会沉淀为一辈子的记忆。,8.7,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...,借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),240591
岁月流逝，来日可追。,8.6,导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...,岁月神偷/歲月神偷/1969太空漫游/EchoesOfTheRainbow,332240
时代悲歌。,9.2,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...,七武士/七人の侍/七侠四义(港)/TheSevenSamurai,85747
关于连环杀人悬案的集体回忆。,8.7,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...,杀人回忆/살인의추억/谋杀回忆/杀手回忆录,230497
Mr. I Don't Care其实也有Care的时候。,8.5,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...,神偷奶爸/DespicableMe/卑鄙的我/坏蛋奖门人(港),422090
中国家庭的喜怒哀乐忍。,8.8,导演:李安AngLee主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...,喜宴/囍宴/TheWeddingBanquet,155275
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.5,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...,贫民窟的百万富翁/SlumdogMillionaire/贫民百万富翁(台)/一百万零一夜(港),425393
真相就在眼前。,8.7,导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...,电锯惊魂/Saw/夺魂锯(台)/恐惧斗室(港),216738
爱，是个动词。,8.5,导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...,真爱至上/LoveActually/爱是您，爱是我(台)/真的恋爱了(港),340994
像吃了苏打饼一样干脆的电影。,8.7,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...,谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),197198
大海啊，不全是水。,9.0,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...,海洋/Océans/Oceans/海洋,104488
电影诗。,8.6,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...,东邪西毒/東邪西毒/AshesofTime,276963
不要给它起名字，起了名字就有感情了。,8.6,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...,"怪兽电力公司/Monsters,Inc./怪兽公司(港)/怪物公司",268474
一个针管引发的血案。,8.5,导演:克里斯托弗·诺兰ChristopherNolan主演:盖·皮尔斯GuyPearce/...,记忆碎片/Memento/失忆/记忆拼图(台),304468
